ticker,exchange_cd,date,sentiment,sentiment_high,sentiment_low,news_volume,news_buzz,name
AAPL,MM,2013.12.20,0.407,3.007,-3.193,54,6,APPLE INC
AAPL,MM,2013.12.21,-1.133,2.084,-3.35,15,4,APPLE INC
AAPL,MM,2013.12.22,0.222,2.153,-2.709,18,5,APPLE INC
AAPL,MM,2013.12.23,2.022,4.171,-1.127,181,10,APPLE INC
AAPL,MM,2013.12.24,1.667,3.563,-1.229,51,2,APPLE INC
AAPL,MM,2013.12.25,0.1,1.968,-2.768,10,0,APPLE INC
AAPL,MM,2013.12.26,1.25,3.081,-1.581,36,1,APPLE INC
AAPL,MM,2013.12.27,0.353,2.049,-2.343,34,1,APPLE INC
AAPL,MM,2013.12.28,1.19,3.513,-2.132,21,2,APPLE INC
AAPL,MM,2013.12.29,0.1,2.072,-2.872,10,2,APPLE INC
AAPL,MM,2013.12.30,0.482,2.544,-2.579,56,4,APPLE INC
AAPL,MM,2013.12.31,-1.02,2.101,-3.141,50,8,APPLE INC
AAPL,MM,2014.1.1,0.438,2.168,-2.293,32,5,APPLE INC
AAPL,MM,2014.1.2,-1.113,1.994,-3.219,71,10,APPLE INC
AAPL,MM,2014.1.3,0.036,2.515,-3.442,55,7,APPLE INC
AAPL,MM,2014.1.4,-1.187,1.441,-2.816,16,6,APPLE INC
AAPL,MM,2014.1.5,-1.333,1.23,-2.897,9,6,APPLE INC
AAPL,MM,2014.1.6,0.37,2.363,-2.623,92,10,APPLE INC
AAPL,MM,2014.1.7,0.197,2.291,-2.898,122,10,APPLE INC
AAPL,MM,2014.1.8,0.966,3.408,-2.476,59,4,APPLE INC
AAPL,MM,2014.1.9,0.584,2.509,-2.34,89,7,APPLE INC
AAPL,MM,2014.1.10,0.818,3.115,-2.479,55,4,APPLE INC
AAPL,MM,2014.1.11,0.385,2.288,-2.518,13,3,APPLE INC
AAPL,MM,2014.1.12,-1,2.16,-3.16,3,2,APPLE INC
AAPL,MM,2014.1.13,0.578,2.55,-2.394,45,5,APPLE INC
AAPL,MM,2014.1.14,0.78,2.935,-2.376,59,4,APPLE INC
AAPL,MM,2014.1.15,1.404,3.77,-1.962,109,10,APPLE INC
AAPL,MM,2014.1.16,0.8,2.921,-2.321,65,5,APPLE INC
AAPL,MM,2014.1.17,0.039,2.244,-3.166,51,4,APPLE INC
AAPL,MM,2014.1.18,1.333,3.69,-2.024,3,2,APPLE INC
AAPL,MM,2014.1.19,3.167,4.38,1.953,6,2,APPLE INC
AAPL,MM,2014.1.20,0.607,2.613,-2.399,28,3,APPLE INC
AAPL,MM,2014.1.21,0.653,2.825,-2.519,49,4,APPLE INC
AAPL,MM,2014.1.22,0.841,2.759,-2.077,88,8,APPLE INC
AAPL,MM,2014.1.23,0.359,2.627,-2.909,103,10,APPLE INC
AAPL,MM,2014.1.24,0.597,2.748,-2.554,124,10,APPLE INC
AAPL,MM,2014.1.25,0.077,1.894,-2.74,26,7,APPLE INC
AAPL,MM,2014.1.26,0.85,3.201,-2.501,20,7,APPLE INC
AAPL,MM,2014.1.27,0.19,2.176,-2.795,142,10,APPLE INC
AAPL,MM,2014.1.28,0.373,2.618,-2.871,276,10,APPLE INC
AAPL,MM,2014.1.29,0.653,2.618,-2.311,98,3,APPLE INC
AAPL,MM,2014.1.30,0.163,2.115,-2.789,86,3,APPLE INC
AAPL,MM,2014.1.31,0.232,2.508,-3.043,56,2,APPLE INC
AAPL,MM,2014.2.1,-1.043,1.833,-2.92,23,1,APPLE INC
AAPL,MM,2014.2.2,0.917,3.206,-2.373,12,1,APPLE INC
AAPL,MM,2014.2.3,0.342,2.333,-2.648,38,2,APPLE INC
AAPL,MM,2014.2.4,0.739,2.976,-2.498,138,5,APPLE INC
AAPL,MM,2014.2.5,1.204,3.359,-1.951,54,3,APPLE INC
AAPL,MM,2014.2.6,0.301,2.438,-2.836,73,5,APPLE INC
AAPL,MM,2014.2.7,0.295,2.183,-2.593,149,10,APPLE INC
AAPL,MM,2014.2.8,0.3,2.553,-2.953,30,7,APPLE INC
AAPL,MM,2014.2.9,1.438,2.608,0.267,16,6,APPLE INC
AAPL,MM,2014.2.10,0.914,3.223,-2.395,163,10,APPLE INC
AAPL,MM,2014.2.11,0.024,1.969,-2.921,83,5,APPLE INC
AAPL,MM,2014.2.12,1,3.11,-2.11,75,4,APPLE INC
AAPL,MM,2014.2.13,0.216,2.336,-2.904,74,4,APPLE INC
AAPL,MM,2014.2.14,0.271,2.671,-3.128,59,3,APPLE INC
AAPL,MM,2014.2.15,0.5,2.913,-2.913,14,2,APPLE INC
AAPL,MM,2014.2.16,-1,2.38,-3.38,6,2,APPLE INC
AAPL,MM,2014.2.17,1.417,3.778,-1.945,12,1,APPLE INC
AAPL,MM,2014.2.18,1.493,3.471,-1.485,71,8,APPLE INC
AAPL,MM,2014.2.19,0.25,2.36,-2.86,68,9,APPLE INC
AAPL,MM,2014.2.20,1.519,3.949,-1.91,52,7,APPLE INC
AAPL,MM,2014.2.21,1.226,3.18,-1.729,62,8,APPLE INC
AAPL,MM,2014.2.22,-1.293,1.904,-3.49,58,10,APPLE INC
AAPL,MM,2014.2.23,1.327,3.236,-1.582,52,10,APPLE INC
AAPL,MM,2014.2.24,1.354,3.368,-1.661,82,10,APPLE INC
AAPL,MM,2014.2.25,0.73,3.032,-2.571,89,10,APPLE INC
AAPL,MM,2014.2.26,0.163,2.554,-3.228,86,9,APPLE INC
AAPL,MM,2014.2.27,0.722,2.816,-2.373,97,10,APPLE INC
AAPL,MM,2014.2.28,0.766,2.943,-2.412,64,6,APPLE INC
AAPL,MM,2014.3.1,1.042,3.395,-2.312,24,5,APPLE INC
AAPL,MM,2014.3.2,0.643,2.592,-2.307,14,6,APPLE INC
AAPL,MM,2014.3.3,1.041,3.084,-2.003,74,10,APPLE INC
AAPL,MM,2014.3.4,0.226,2.067,-2.615,84,8,APPLE INC
AAPL,MM,2014.3.5,0.533,2.81,-2.743,45,4,APPLE INC
AAPL,MM,2014.3.6,0.263,2.546,-3.02,57,5,APPLE INC
AAPL,MM,2014.3.7,1.106,3.449,-2.237,66,7,APPLE INC
AAPL,MM,2014.3.8,1.75,3.827,-1.327,16,5,APPLE INC
AAPL,MM,2014.3.9,0.467,1.351,-1.418,15,6,APPLE INC
AAPL,MM,2014.3.10,0.952,2.791,-1.886,42,8,APPLE INC
